CTXS;QCOM;AAPL;IDXX;ALGN;AMGN;CPRT;FAST;CTAS;ORLY;EBAY;BKNG;NFLX;EA;GOOGL;PEP;MNST;COST;XEL;EXC
1/03/2011;57,029911;41,893147;10,650034;38,610001;20,48;42,900009;10,8325;12,714926;26,356106;57,459999;12,726851;506,440002;33,968571;19,530001;293,673676;48,332092;10,038333;57,349831;16,860992;27,79504
1/04/2011;65,476479;43,619919;10,699543;40,715;24,139999;45,628922;11,345;13,15817;27,026321;59,060001;14,1004;547,01001;33,238571;20,18;272,322327;52,089344;11,025;63,270943;17,356894;28,421852
1/05/2011;68,022881;44,765991;10,629257;39,360001;24,5;48,590576;11,75;13,067644;28,593061;60,110001;12,780153;515,190002;38,685715;24,41;264,77478;53,775513;11,941667;64,514648;17,649395;28,206165
1/06/2011;62,107174;43,556999;10,25766;38,779999;22,799999;46,832848;11,65;14,174337;28,749735;65,510002;13,231169;511,929993;37,527142;23,6;253,443451;53,25378;13,491667;63,730743;17,335497;29,23811
1/07/2011;55,927505;42,015366;11,932584;41,470001;21,99;43,90329;10,8625;13,252749;28,331944;59,5;13,427978;537,650024;37,998573;22,25;302,147156;48,775341;12,77;61,385136;17,304369;30,077583
1/08/2011;46,914204;39,468971;11,75993;39,889999;19,1;44,465115;10,76;13,232184;27,835808;64,879997;12,657149;537,26001;33,572857;22,58;270,750763;49,07238;14,22;61,612652;17,787455;29,429209
1/09/2011;42,333797;37,466034;11,652668;34,485001;15,17;44,352646;9,78;13,157071;24,49342;66,629997;12,091329;449,459991;16,181429;20,450001;257,777771;47,524784;14,548333;64,633492;17,801876;29,464689
1/10/2011;56,540817;39,754192;12,369576;35,994999;23,030001;46,216808;10,8875;15,058678;26,016644;76,050003;13,05076;507,720001;11,725715;23,35;296,616608;48,330944;14,848333;65,514877;18,83263;30,69556
1/11/2011;55,42289;42,219578;11,679561;37,595001;24,5;46,733292;11,2325;16,531275;26,460552;77,239998;12,132331;485,890015;9,218572;23,190001;299,994995;49,137108;15,366667;67,128166;19,153189;30,640234
1/12/2011;47,139347;42,305923;12,376299;38,48;23,73;52,071697;11,9725;17,309219;30,85902;79,949997;12,435741;467,709991;9,898571;20,6;323,273285;51,356819;15,356667;65,757484;20,136709;30,344402
1/01/2012;50,617348;45,492397;13,949464;42,294998;23,559999;55,088451;11,76;18,527729;32,880234;81,510002;12,95646;529,48999;17,171429;18,58;290,345337;50,830482;17,418333;64,928833;19,564409;27,832609
1/02/2012;58,023624;48,09108;16,576292;42,875;25,610001;55,153343;12,445;20,985596;34,183388;86,5;14,653919;627,02002;15,818571;16,34;309,434448;48,717369;19,059999;67,919952;19,483503;27,335852
1/03/2012;61,260956;52,819939;18,321507;43,724998;27,549999;55,417076;13,035;21,551275;34,679829;91,349998;15,129535;717,5;16,434286;16,49;320,940948;51,777943;20,696667;71,864799;19,46879;27,800148
1/04/2012;66,462448;49,537148;17,845701;43,965;31,709999;57,977158;13,205;18,651209;34,724148;105,5;16,818792;760,820007;11,448571;15,38;302,727722;51,504803;21,666666;69,791168;20,101995;27,760145
1/05/2012;56,734901;44,477116;17,654713;42,419998;31,23;56,680805;13,555;17,682491;32,711803;95,790001;16,068466;625,48999;9,062857;13,62;290,720734;52,948509;24,200001;68,374443;20,815149;26,315578
1/06/2012;65,165939;43,3979;17,846313;48,064999;33,459999;59,748642;11,845;16,115332;34,227707;83,769997;17,22471;664,52002;9,784286;12,35;290,325317;55,572605;23,733334;75,437744;21,104874;27,034126
1/07/2012;56,42437;46,515568;18,664078;44,084999;33,959999;67,689438;11,88;17,238731;35,131943;85,739998;18,163645;661,73999;8,121428;11,02;316,801788;57,200626;22,139999;76,374741;21,970432;28,112053
1/08/2012;60,313831;47,902916;20,328909;47,529999;33,950001;68,771172;13,355;17,303476;35,832275;84,949997;19,463387;604,570007;8,531428;13,33;342,887878;56,96468;19,646667;77,716743;20,913157;26,207724
1/09/2012;59,413273;48,690144;20,473276;49,674999;36,970001;69,378113;13,865;17,263323;36,727638;83,620003;19,832403;619,070007;7,777143;12,69;377,627625;55,659111;18,02;79,764183;20,778179;25,917776
1/10/2012;47,962261;45,870178;18,270342;48,099998;26,57;71,188896;14,395;17,949995;37,06451;85,849998;19,787302;573,77002;11,32;12,35;340,490479;54,86306;14,883333;78,386444;21,390478;26,063459
1/11/2012;47,480938;49,791164;17,962212;46,735001;27,389999;73,09024;15,075;16,870512;36,7365;94,080002;21,656967;663,190002;11,672857;14,81;349,534546;55,631615;17,35;82,758507;20,481852;22,01335
1/12/2012;50,943409;48,413734;16,40687;46,400002;27,75;71,25013;14,75;18,823471;36,821575;89,419998;20,910742;620,390015;13,227143;14,52;354,044037;54,22123;17,613333;78,851959;20,224413;22,039751
1/01/2013;56,797009;51,873814;14,042816;47,605;31,360001;70,638443;17,955;20,286388;38,045952;92,650002;22,948511;685,469971;23,605715;15,73;378,223236;58,170593;15,966666;87,517311;21,245411;23,299583
1/02/2013;55,042477;51,575226;13,608422;46,060001;31,440001;75,672264;17,07;21,125322;39,522419;101,790001;22,431896;689,109985;26,868572;17,530001;401,001007;60,502224;16,82;86,619408;21,949005;22,966101
